asset_id,category,filename,source_file,pixel_width,pixel_height,state,author_or_tool,created_at,license,modified,public_build_allowed,sha256,status,notes
board_layout_wip,board,Board/board_layout_wip.png,,960,540,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,90d17becff13655c1764500f28ce2ad2e65a0cb243ba8ee7e3ae2bebe731583b,wip_unassigned,user-approved seated first-person reference; circular table; two blank cards per side; one bell per participant; catalog reference remains empty
ai_silhouette,characters,Characters/ai_silhouette.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,0a2ce214d3d0fdfba3626cc6249b2b34a2a31791675fa2767584c160a3571ea7,wip_unassigned,catalog reference remains empty
player_silhouette,characters,Characters/player_silhouette.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,3af4fad4b05ecf5d4d738b460963613f9f23dfee5081e015d5b7f0a71f9130dc,wip_unassigned,catalog reference remains empty
result_lose,fx,FX/result_lose.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,95546bcb7972ad133eee41d504000efffc8a159438ef3ad36e5e7a06d1886bbd,wip_unassigned,catalog reference remains empty
result_win,fx,FX/result_win.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,832b91a016e2b00eace0cb6bce06cbd36759a41dc666d42c655046af47535e3e,wip_unassigned,catalog reference remains empty
bell_hover,ui,UI/bell_hover.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,2dc09f5513c07849131bb8f87d702f5dedf8cfbac5e602acee87252868af7549,wip_unassigned,catalog reference remains empty
bell_idle,ui,UI/bell_idle.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,b9d8492622656806d9fa218b678a13f77741c082e6272f0dc02bcd7989a93817,wip_unassigned,catalog reference remains empty
bell_pressed,ui,UI/bell_pressed.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,1392f49d30a6a9a0ecc105c13d4d46ef0ca7e02b6eb5f725c1dd8a2b87cbd9ec,wip_unassigned,catalog reference remains empty
bell_wrong,ui,UI/bell_wrong.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,54d67c54967a1777eb74ab344b673bce1ecbdbefb769a560340a9c535edb560f,wip_unassigned,catalog reference remains empty
coin,ui,UI/coin.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,94ffcf389836791edf581e0c46851e70afb7a4904d2a679bcf320dd595cef145,wip_unassigned,catalog reference remains empty
flip_timer,ui,UI/flip_timer.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,6a517c7965c88e2393b5c45adb2a5a295f261d8765474c1aa2005099b1fae617,wip_unassigned,catalog reference remains empty
halli_win_marker,ui,UI/halli_win_marker.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,469cc4ccfeef2fca4fabc94d7b72dc608de299ba0f216f51630496f12076b8bc,wip_unassigned,catalog reference remains empty
item_slot,ui,UI/item_slot.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,6a13305324d496ffbccec7b1c0102c35f08bf3bd56083919e72d05421d65e670,wip_unassigned,catalog reference remains empty
player_health,ui,UI/player_health.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,bc0e8e3355f843c2bf8ee188a2d22b1e2d44fda0700cbbafa2957af48a1a5eef,wip_unassigned,catalog reference remains empty
prediction_lose,ui,UI/prediction_lose.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,1e046aad4daa707a6eb1fb3c0903dd74f0d3d5f8934a44037e54f2a0e6d92674,wip_unassigned,catalog reference remains empty
prediction_win,ui,UI/prediction_win.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,6e7ba7095a2d87093e62515bb8adca94d1d75bb4a60762bdee9016938f4bf1c9,wip_unassigned,catalog reference remains empty
public_card_locked_slot,ui,UI/public_card_locked_slot.png,,128,128,wip,OpenAI built-in imagegen,2026-08-07,project-generated pending review,yes,no,c8aab1f257153c425ba988023ad314b632c980969b845767229dd8ff4b3cbfeb,wip_unassigned,slot only; no card artwork; catalog reference remains empty
